Ticker,ShortName,Sector,Region,Country,AverageRating
VIRFIN,VIRGIN MEDIA Fin PLC,Cyclical,Europe,United Kingdom,13
VIVNDI,Vivendi,Cyclical,Europe,France,9
VLOF,Valeo,Non Cyclical,Europe,France,10
VLVY,AB Volvo,Cyclical,Europe,Sweden,7
VLVY-Treasury,Volvo Treas AB,Cyclical,Europe,Sweden,7
VOD,Vodafone Gp PLC,Cyclical,Europe,United Kingdom,10
VW,Volkswagen AG,Non Cyclical,Europe,Germany,6
WEINBG,Wienerberger Ag,Cyclical,Europe,Austria,9
WENL,WENDEL,Financials,Europe,France,10
WOLKLU,Wolters Kluwer N V,Cyclical,Europe,Netherlands,9
WPPGRP-2005,WPP 2005 Ltd,Cyclical,Europe,United Kingdom,17
YORPOW,Yorkshire Pwr Gp Ltd,Non Cyclical,Europe,United Kingdom,10
ZINCO,Zurich Ins Co Ltd,Financials,Europe,Switzerland,1
